Raison Sociale;Type;Sous-type;Type de cuisine;Ligne adresse 1;Numéro;Complément numéro;Type de voie;Voie;Ligne adresse 3;Boite postale;Code postal;Ville;Bureau distributeur;Indicateur cédex;Cédex;Téléphone;Mail;Adresse Web;Longitude;Latitude
L'aubergine;cdt:Brasserie;;Traditionnelle;;18;;Avenue;Jean-Jaurès;;;13810;Eygalières;EYGALIERES;non;;04 90 95 98 89;;;4.9537705;43.7607152
Brasserie d'Eygalières;cdt:Brasserie;;Méditerranéenne ;;1;;Rue;De la République;;;13810;Eygalières;EYGALIERES;non;;04 90 95 93 17;;;4.9493714;43.7614402
Le Petit Port;cdt:Restaurant;;"Provençale
Poisson/fruits de mer
Italienne
Pizza
Méditerranéenne ";L'Escalette;;;Chemin;Des Goudes;;;13008;Marseille;MARSEILLE;non;;04 91 72 20 00;;http://restaurant-le-petit-port.fr;5.34846;43.22578
Cyprien;cdt:Restaurant;;Gastronomique;;56;;Avenue;De Toulon;;;13006;Marseille;MARSEILLE;non;;04 91 25 50 00;;http://www.restaurant-cyprien.com;5.387712;43.285421
Les pieds dans le plat;cdt:Restaurant;;"Provençale
Méditerranéenne ";;2;;Rue;Pastoret;;;13006;Marseille;MARSEILLE;non;;04 91 48 74 15;;;5.383721;43.293433
Pizzeria Jeannot;"cdt:Pizzeria
cdt:Restaurant";;"Traditionnelle
Provençale
Poisson/fruits de mer";;129;;;Vallon des Auffes;;;13007;Marseille;MARSEILLE;non;;04 91 52 11 28;;http://pizzeriachezjeannot.com;5.351627;43.285453
Le Boucher;cdt:Restaurant;;Grillades (spécialité);;10;;Rue;Du Village;;;13006;Marseille;MARSEILLE;non;;04 91 48 79 65;leboucher@francegourmande.fr;;5.385316;43.288482
Le Café des Epices;cdt:Restaurant;;Gastronomique;;4;;Rue;Du Lacydon;;;13002;Marseille;MARSEILLE;non;;04 91 91 22 69;contact@cafedesepices.com;"http://www.cafedesepices.com
http://laterrasse-cafedesepices.com";5.369278;43.296841
Atelier de Jean-Luc Rabanel;cdt:Restaurant;;"Gastronomique
Bio (cuisine sur la base de produits bio)";;7;;Rue;Des Carmes;;;13200;Arles;ARLES;non;;04 90 91 07 69;contact@rabanel.com;http://www.rabanel.com;4.627049;43.67587
Victor Café;cdt:Restaurant;;Méditerranéenne ;Le Pharo;71;;Boulevard;Charles Livon;;;13007;Marseille;MARSEILLE;non;;04 88 00 46 00;info@newhotelofmarseille.com;http://www.victorcafemarseille.com;5.359182;43.292066
Le Patio;cdt:Restaurant;;"Gastronomique
Provençale";;117;;Route;Du Nord;;;13990;Fontvieille;FONTVIEILLE;non;;04 90 54 73 10;;http://www.lepatio-alpilles.com;4.711329;43.72784
Bistrot découverte;cdt:Restaurant;;Méditerranéenne ;;19;;Boulevard;Victor Hugo;;;13210;Saint Rémy de Provence;SAINT REMY DE PROVENCE;non;;04 90 92 34 49;c.bonnefoy@live.fr;http://www.bistrotdecouverte.com;4.832105;43.78772
Chez Michel;cdt:Restaurant;;"Gastronomique
Poisson/fruits de mer
Provençale";;6;;Rue;Des Catalans;;;13007;Marseille;MARSEILLE;non;;04 91 52 30 63;;http://www.restaurant-michel-13.fr/;5.355931;43.290709
Roche Belle;cdt:Restaurant;;Gastronomique;;;;Corniche;Du Liouquet;;;13600;La Ciotat;LA CIOTAT;non;;04 42 71 47 60;edwige.guesnet@orange.fr;;5.619656;43.200985
L'Epuisette;cdt:Restaurant;;"Gastronomique
Poisson/fruits de mer
Actuelle
Traditionnelle";;;;;;Anse du Vallon des Auffes;;13007;Marseille;MARSEILLE;non;;04 91 52 17 82;contact@l-epuisette.com;http://www.l-epuisette.com;5.350213;43.28511
Chez Etienne;cdt:Pizzeria;;"Provençale
Pizza";;43;;Rue;De Lorette;;;13001;Marseille;MARSEILLE;non;;04 91 00 00 00;;;5.36999;43.30015
Limone;cdt:Restaurant;;Italienne;;32;;Boulevard;Notre-Dame;;;13006;Marseille;MARSEILLE;non;;04 91 91 47 64;;;5.372994;43.288842
Le Bistrot à Vin;cdt:Restaurant;;Traditionnelle;;17;;Rue;Sainte;;;13001;Marseille;MARSEILLE;non;;04 91 54 02 20;;;5.376013;43.292681
Chassagnette;cdt:Restaurant;;Traditionnelle;;;;Route;Du Sambuc;;;13200;Arles;ARLES;non;;04 90 97 26 96;;http://www.chassagnette.fr;4.6475;43.596188
La Table de Ventabren;cdt:Restaurant;;Traditionnelle;;1;;Rue;Cézanne;Frédéric Mistral;;13122;Ventabren;VENTABREN;non;;04 42 28 79 33;contact@latabledeventabren.com;http://www.latabledeventabren.com;5.292099;43.53869
L'Aile ou la Cuisse;cdt:Restaurant;;Traditionnelle;;5;;Rue;De la commune;;;13210;Saint Rémy de Provence;SAINT REMY DE PROVENCE;non;;04 32 62 00 25;jean.pierre.ricci@gmail.com;;4.831882;43.788178
Bistrot des Alpilles;cdt:Restaurant;;Provençale;;15;;Boulevard;Mirabeau;;;13210;Saint Rémy de Provence;SAINT REMY DE PROVENCE;non;;04 90 92 09 17;lba1@wanadoo.fr;http://www.lebistrotdesalpilles.com;4.833252;43.788832
La Trilogie des Cépages;cdt:Restaurant;;Gastronomique;;35;;Rue;De la Paix Marcel Paul;;;13001;Marseille;MARSEILLE;non;;04 91 33 96 03;contact@trilogiedescepages.com;http://www.trilogiedescepages.com;5.372846;43.292202
L'Aromat;cdt:Restaurant;;Méditerranéenne ;;49;;Rue;Sainte;;;13001;Marseille;MARSEILLE;non;;04 91 55 09 06;laromat@orange.fr;http://www.laromat.com;5.381494;43.290807
La Fabrique;cdt:Restaurant;;Traditionnelle;;3;;Place;Jules Verne;;;13002;Marseille;MARSEILLE;non;;04 91 91 40 48;;;5.368658;43.296503
Le Goût des Choses;cdt:Restaurant;;Internationale ;;4;;Place;Notre-Dame du Mont;;;13001;Marseille;MARSEILLE;non;;04 91 48 70 62;contact@legoutdeschoses.fr;http://www.legoutdeschoses.fr;5.38355;43.292272
Le Mina Kouk;cdt:Restaurant;;"Méditerranéenne 
Maghreb
Végétarien - diététique (spécialité)";;21;;Rue;Fontange;;;13006;Marseille;MARSEILLE;non;;04 91 53 54 55;contact@minakouk.com;http://www.minakouk.com;5.3808683;43.2875818
Le César Place;cdt:Restaurant;;Méditerranéenne ;;21;;Place;Aux Huiles;;;13001;Marseille;MARSEILLE;non;;04 91 33 25 22;;http://www.restaurant-cesarplace.com;5.371739;43.292866
L'Oustalet Maianen;cdt:Restaurant;;Méditerranéenne ;;16;;Avenue;Lamartine;;;13910;Maillane;MAILLANE;non;;04 90 95 74 60;christian.garino@wanadoo.fr;http://www.oustaletmaianen.com;4.782376;43.831353
La Cantinetta;cdt:Restaurant;;Italienne;;24;;Cours;Julien;;;13006;Marseille;MARSEILLE;non;;04 91 48 10 48;;;5.380868;43.287582
Chez Madie Les Galinettes;cdt:Restaurant;;Provençale;;138;;Quai;Du Port;;;13002;Marseille;MARSEILLE;non;;04 91 90 40 87;madielesgalinettes@gmail.com;http://chezmadie.idhii.net/;5.367579;43.295956
Le Malthazar;"cdt:Restaurant
cdt:Brasserie";;"Lyonnaise
Traditionnelle
Gastronomique";;19;;Rue;Fortia;;;13001;Marseille;MARSEILLE;non;;04 91 33 42 46;veroanto@free.fr;http://www.malthazar.fr/;5.3742;43.29182
Vinonéo Bistrot;"cdt:BarAVin
cdt:Restaurant";;Traditionnelle;;6;;Place;Daviel;;;13002;Marseille;MARSEILLE;non;;04 91 90 40 26;contact@vinoneo.fr;http://www.vinoneo.fr/;5.369367;43.297535
Quelque Part;cdt:Restaurant;;Traditionnelle;;4;;Rue;D'Italie;;;13006;Marseille;MARSEILLE;non;;04 91 47 57 50;quelquepart13@orange.fr;;5.381478;43.290798
Les Arcenaulx;cdt:Restaurant;;Traditionnelle;;25;;Cours;D'Estienne d'Orves;;185;13001;Marseille;MARSEILLE;non;;04 91 59 80 30;restaurant@les-arcenaulx.com;http://www.les-arcenaulx.com;5.3731377;43.2925242
Le Relais 50;cdt:Restaurant;;Gastronomique;;20;;Quai;Du Port;;;13002;Marseille;MARSEILLE;non;;04 91 52 52 50;info@hrvpm.com;http://www.hotelmarseille.com;5.372792;43.296357
Virgin Café;cdt:Restaurant;;Traditionnelle;;75;;Rue;Saint-Ferréol;;;13006;Marseille;MARSEILLE;non;;04 91 54 35 26;cafe.marseille@virginstores.fr;http://www.virginmegastore.fr;5.379104;43.292061
Le Siam;cdt:Restaurant;;Thailandaise;;25;;Promenade;Du Grand Large;;;13008;Marseille;MARSEILLE;non;;04 91 73 91 08;lesiam@francegourmande.fr;;5.363537;43.241299
Le 29 Place aux Huiles;cdt:Restaurant;;Méditerranéenne ;;29;;Place;Aux Huiles;;;13001;Marseille;MARSEILLE;non;;04 91 33 26 44;contact@29placeauxhuiles.com;http://www.29placeauxhuiles.com;5.371739;43.292866
Tiboulen de Maïre;cdt:Restaurant;;Poisson/fruits de mer;La Calanque Blanche;;;Route;Des Goudes;;;13008;Marseille;MARSEILLE;non;;04 91 25 26 30;tiboulen.de.maire@wanadoo.fr;;5.348492;43.225772
Le Bistrot d'Edouard;cdt:Restaurant;;Méditerranéenne ;;150;;Rue;Jean Mermoz;;;13001;Marseille;MARSEILLE;non;;04 91 71 16 52;;;5.3868405;43.2717352
Le Cirque;cdt:Restaurant;;Gastronomique;;118;;Quai;Du Port;;;13002;Marseille;MARSEILLE;non;;04 91 91 08 91;christhaba@hotmail.fr;;5.368525;43.295936
Le Calypso;cdt:Restaurant;;"Poisson/fruits de mer
Gastronomique";;3;;Rue;Des Catalans;;;13007;Marseille;MARSEILLE;non;;04 91 52 40 60;lecalypso@francegourmande.fr;http://www.restaurantcalypso.fr;5.35578;43.291779
Le Péron;cdt:Restaurant;;Gastronomique;;56;;Corniche;J.F. Kennedy;;;13007;Marseille;MARSEILLE;non;;04 91 52 15 22;info@restaurant-peron.com;http://www.restaurant-peron.com;5.352323;43.287889
Auberge Cavalière;cdt:Restaurant;;Provençale;;;;RD;570 - Route d'Arles;;;13460;Saintes Maries de la Mer;LES SAINTES MARIES DE LA MER;non;;04 90 97 88 88;reception@aubergecavaliere.com;http://www.aubergecavaliere.com;4.42022037;43.4642715
Le clos saint roch;cdt:Restaurant;;Gastronomique;;87;;Avenue;De la vallée des baux;;;13520;Maussane les Alpilles;MAUSSANE LES ALPILLES;non;;04 90 98 77 15;leclosaintroch@yahoo.com;http://maussane.com;4.807346;43.7205044
Le Miramar;cdt:Restaurant;;"Gastronomique
Poisson/fruits de mer";;12;;Quai;Du Port;;;13002;Marseille;MARSEILLE;non;;04 91 91 10 40;contact@bouillabaisse.com;http://www.lemiramar.fr/site/;5.37309;43.296281
Le Petit Nice - Passédat;cdt:Restaurant;;"Gastronomique
Traditionnelle
Poisson/fruits de mer
Végétarien - diététique (spécialité)
Actuelle
Méditerranéenne ";Anse de Maldormé;;;Corniche;John Fitzerald Kennedy;;;13007;Marseille;MARSEILLE;non;;04 91 59 25 92;contact@passedat.fr;http://www.passedat.fr;5.358175;43.276531
La Garbure;cdt:Restaurant;;Sud Ouest;;9;;Cours;Julien;;;13006;Marseille;MARSEILLE;non;;04 91 47 18 01;contact@restaurant-marseille-lagarbure.com;http://www.restaurant-marseille-lagarbure.com/;5.383051;43.294326
Le Lauracée;cdt:Restaurant;;Méditerranéenne ;;96;;Rue;Grignan;;;13006;Marseille;MARSEILLE;non;;04 91 33 63 36;contact@lelauracee.com;http://www.lelauracee.com;5.372774;43.291178
